login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,score
singwhatiwanna,3346272,MDQ6VXNlcjMzNDYyNzI=,https://avatars.githubusercontent.com/u/3346272?v=4,,https://api.github.com/users/singwhatiwanna,https://github.com/singwhatiwanna,https://api.github.com/users/singwhatiwanna/followers,https://api.github.com/users/singwhatiwanna/following{/other_user},https://api.github.com/users/singwhatiwanna/gists{/gist_id},https://api.github.com/users/singwhatiwanna/starred{/owner}{/repo},https://api.github.com/users/singwhatiwanna/subscriptions,https://api.github.com/users/singwhatiwanna/orgs,https://api.github.com/users/singwhatiwanna/repos,https://api.github.com/users/singwhatiwanna/events{/privacy},https://api.github.com/users/singwhatiwanna/received_events,User,False,1.0
tangqiaoboy,733097,MDQ6VXNlcjczMzA5Nw==,https://avatars.githubusercontent.com/u/733097?v=4,,https://api.github.com/users/tangqiaoboy,https://github.com/tangqiaoboy,https://api.github.com/users/tangqiaoboy/followers,https://api.github.com/users/tangqiaoboy/following{/other_user},https://api.github.com/users/tangqiaoboy/gists{/gist_id},https://api.github.com/users/tangqiaoboy/starred{/owner}{/repo},https://api.github.com/users/tangqiaoboy/subscriptions,https://api.github.com/users/tangqiaoboy/orgs,https://api.github.com/users/tangqiaoboy/repos,https://api.github.com/users/tangqiaoboy/events{/privacy},https://api.github.com/users/tangqiaoboy/received_events,User,False,1.0
gaoxiang12,6635511,MDQ6VXNlcjY2MzU1MTE=,https://avatars.githubusercontent.com/u/6635511?v=4,,https://api.github.com/users/gaoxiang12,https://github.com/gaoxiang12,https://api.github.com/users/gaoxiang12/followers,https://api.github.com/users/gaoxiang12/following{/other_user},https://api.github.com/users/gaoxiang12/gists{/gist_id},https://api.github.com/users/gaoxiang12/starred{/owner}{/repo},https://api.github.com/users/gaoxiang12/subscriptions,https://api.github.com/users/gaoxiang12/orgs,https://api.github.com/users/gaoxiang12/repos,https://api.github.com/users/gaoxiang12/events{/privacy},https://api.github.com/users/gaoxiang12/received_events,User,False,1.0
liuhuanyong,22536595,MDQ6VXNlcjIyNTM2NTk1,https://avatars.githubusercontent.com/u/22536595?v=4,,https://api.github.com/users/liuhuanyong,https://github.com/liuhuanyong,https://api.github.com/users/liuhuanyong/followers,https://api.github.com/users/liuhuanyong/following{/other_user},https://api.github.com/users/liuhuanyong/gists{/gist_id},https://api.github.com/users/liuhuanyong/starred{/owner}{/repo},https://api.github.com/users/liuhuanyong/subscriptions,https://api.github.com/users/liuhuanyong/orgs,https://api.github.com/users/liuhuanyong/repos,https://api.github.com/users/liuhuanyong/events{/privacy},https://api.github.com/users/liuhuanyong/received_events,User,False,1.0
yanhaijing,3192087,MDQ6VXNlcjMxOTIwODc=,https://avatars.githubusercontent.com/u/3192087?v=4,,https://api.github.com/users/yanhaijing,https://github.com/yanhaijing,https://api.github.com/users/yanhaijing/followers,https://api.github.com/users/yanhaijing/following{/other_user},https://api.github.com/users/yanhaijing/gists{/gist_id},https://api.github.com/users/yanhaijing/starred{/owner}{/repo},https://api.github.com/users/yanhaijing/subscriptions,https://api.github.com/users/yanhaijing/orgs,https://api.github.com/users/yanhaijing/repos,https://api.github.com/users/yanhaijing/events{/privacy},https://api.github.com/users/yanhaijing/received_events,User,False,1.0
HcySunYang,14146560,MDQ6VXNlcjE0MTQ2NTYw,https://avatars.githubusercontent.com/u/14146560?v=4,,https://api.github.com/users/HcySunYang,https://github.com/HcySunYang,https://api.github.com/users/HcySunYang/followers,https://api.github.com/users/HcySunYang/following{/other_user},https://api.github.com/users/HcySunYang/gists{/gist_id},https://api.github.com/users/HcySunYang/starred{/owner}{/repo},https://api.github.com/users/HcySunYang/subscriptions,https://api.github.com/users/HcySunYang/orgs,https://api.github.com/users/HcySunYang/repos,https://api.github.com/users/HcySunYang/events{/privacy},https://api.github.com/users/HcySunYang/received_events,User,False,1.0
julycoding,6184536,MDQ6VXNlcjYxODQ1MzY=,https://avatars.githubusercontent.com/u/6184536?v=4,,https://api.github.com/users/julycoding,https://github.com/julycoding,https://api.github.com/users/julycoding/followers,https://api.github.com/users/julycoding/following{/other_user},https://api.github.com/users/julycoding/gists{/gist_id},https://api.github.com/users/julycoding/starred{/owner}{/repo},https://api.github.com/users/julycoding/subscriptions,https://api.github.com/users/julycoding/orgs,https://api.github.com/users/julycoding/repos,https://api.github.com/users/julycoding/events{/privacy},https://api.github.com/users/julycoding/received_events,User,False,1.0
jindongwang,6158206,MDQ6VXNlcjYxNTgyMDY=,https://avatars.githubusercontent.com/u/6158206?v=4,,https://api.github.com/users/jindongwang,https://github.com/jindongwang,https://api.github.com/users/jindongwang/followers,https://api.github.com/users/jindongwang/following{/other_user},https://api.github.com/users/jindongwang/gists{/gist_id},https://api.github.com/users/jindongwang/starred{/owner}{/repo},https://api.github.com/users/jindongwang/subscriptions,https://api.github.com/users/jindongwang/orgs,https://api.github.com/users/jindongwang/repos,https://api.github.com/users/jindongwang/events{/privacy},https://api.github.com/users/jindongwang/received_events,User,False,1.0
rfyiamcool,3785409,MDQ6VXNlcjM3ODU0MDk=,https://avatars.githubusercontent.com/u/3785409?v=4,,https://api.github.com/users/rfyiamcool,https://github.com/rfyiamcool,https://api.github.com/users/rfyiamcool/followers,https://api.github.com/users/rfyiamcool/following{/other_user},https://api.github.com/users/rfyiamcool/gists{/gist_id},https://api.github.com/users/rfyiamcool/starred{/owner}{/repo},https://api.github.com/users/rfyiamcool/subscriptions,https://api.github.com/users/rfyiamcool/orgs,https://api.github.com/users/rfyiamcool/repos,https://api.github.com/users/rfyiamcool/events{/privacy},https://api.github.com/users/rfyiamcool/received_events,User,False,1.0
Terry-Mao,1627804,MDQ6VXNlcjE2Mjc4MDQ=,https://avatars.githubusercontent.com/u/1627804?v=4,,https://api.github.com/users/Terry-Mao,https://github.com/Terry-Mao,https://api.github.com/users/Terry-Mao/followers,https://api.github.com/users/Terry-Mao/following{/other_user},https://api.github.com/users/Terry-Mao/gists{/gist_id},https://api.github.com/users/Terry-Mao/starred{/owner}{/repo},https://api.github.com/users/Terry-Mao/subscriptions,https://api.github.com/users/Terry-Mao/orgs,https://api.github.com/users/Terry-Mao/repos,https://api.github.com/users/Terry-Mao/events{/privacy},https://api.github.com/users/Terry-Mao/received_events,User,False,1.0
